Org_ID,Org_Acronym,Org_Name,Org_Full_Name
ORG040,AREMA,AMERICAN RAILWAY ENGINEERING AND MAINTENANCE-OF-WAY ASSOCIATION,AMERICAN RAILWAY ENGINEERING AND MAINTENANCE-OF-WAY ASSOCIATION (AREMA)
ORG041,ARMA,ASPHALT ROOFING MANUFACTURER'S ASSOCIATION,ASPHALT ROOFING MANUFACTURER'S ASSOCIATION (ARMA)
ORG042,ARRA,ASPHALT RECYCLING AND RECLAIMING ASSOCIATION,ASPHALT RECYCLING AND RECLAIMING ASSOCIATION (ARRA)
ORG043,ASA,ACOUSTICAL SOCIETY OF AMERICA,ACOUSTICAL SOCIETY OF AMERICA (ASA)
ORG044,ASCE,AMERICAN SOCIETY OF CIVIL ENGINEERS,AMERICAN SOCIETY OF CIVIL ENGINEERS (ASCE)
ORG045,ASHRAE,"AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS","AMERICAN SOCIETY OF HEATING, REFRIGERATING AND AIR-CONDITIONING ENGINEERS (ASHRAE)"
ORG046,ASM,ASM INTERNATIONAL,ASM INTERNATIONAL (ASM)
ORG047,ASME,AMERICAN SOCIETY OF MECHANICAL ENGINEERS,AMERICAN SOCIETY OF MECHANICAL ENGINEERS (ASME)
ORG048,ASNT,AMERICAN SOCIETY FOR NONDESTRUCTIVE TESTING,AMERICAN SOCIETY FOR NONDESTRUCTIVE TESTING (ASNT)
ORG049,ASQ,AMERICAN SOCIETY FOR QUALITY,AMERICAN SOCIETY FOR QUALITY (ASQ)
ORG050,ASSE,AMERICAN SOCIETY OF SANITARY ENGINEERING,AMERICAN SOCIETY OF SANITARY ENGINEERING (ASSE)
ORG051,ASSP,AMERICAN SOCIETY OF SAFETY PROFESSIONALS,AMERICAN SOCIETY OF SAFETY PROFESSIONALS (ASSP)
ORG052,ASTM,ASTM INTERNATIONAL,ASTM INTERNATIONAL (ASTM)
ORG053,ATIS,ALLIANCE FOR TELECOMMUNICATIONS INDUSTRY SOLUTIONS,ALLIANCE FOR TELECOMMUNICATIONS INDUSTRY SOLUTIONS (ATIS)
ORG054,AVIXA,AUDIOVISUAL AND INTEGRATED EXPERIENCE ASSOCIATION,AUDIOVISUAL AND INTEGRATED EXPERIENCE ASSOCIATION (AVIXA)
ORG055,AWC,AMERICAN WOOD COUNCIL,AMERICAN WOOD COUNCIL (AWC)
ORG056,AWCI,ASSOCIATION OF THE WALL AND CEILING INDUSTRY,ASSOCIATION OF THE WALL AND CEILING INDUSTRY (AWCI)
ORG057,AWI,ARCHITECTURAL WOODWORK INSTITUTE,ARCHITECTURAL WOODWORK INSTITUTE (AWI)
ORG058,AWPA,AMERICAN WOOD PROTECTION ASSOCIATION,AMERICAN WOOD PROTECTION ASSOCIATION (AWPA)
ORG059,AWS,AMERICAN WELDING SOCIETY,AMERICAN WELDING SOCIETY (AWS)
ORG060,AWWA,AMERICAN WATER WORKS ASSOCIATION,AMERICAN WATER WORKS ASSOCIATION (AWWA)
ORG061,BHGS,STATE OF CALIFORNIA BUREAU OF HOUSEHOLD GOODS AND SERVICES,STATE OF CALIFORNIA BUREAU OF HOUSEHOLD GOODS AND SERVICES (BHGS)
ORG062,BHMA,BUILDERS HARDWARE MANUFACTURERS ASSOCIATION,BUILDERS HARDWARE MANUFACTURERS ASSOCIATION (BHMA)
ORG063,BICSI,BICSI International Standards Program,BICSI International Standards Program (BICSI)
ORG064,BIFMA,BIFMA INTERNATIONAL,BIFMA INTERNATIONAL (BIFMA)
ORG065,BIOCYCLE,"BIOCYCLE, JOURNAL OF COMPOSTING AND RECYCLING","BIOCYCLE, JOURNAL OF COMPOSTING AND RECYCLING (BIOCYCLE)"
ORG066,BSI,BRITISH STANDARDS INSTITUTION,BRITISH STANDARDS INSTITUTION (BSI)
ORG067,BTL,BACNET TESTING LABORATORIES,BACNET TESTING LABORATORIES (BTL)
ORG068,CAGI,COMPRESSED AIR AND GAS INSTITUTE,COMPRESSED AIR AND GAS INSTITUTE (CAGI)
ORG069,CARB,CALIFORNIA AIR RESOURCES BOARD,CALIFORNIA AIR RESOURCES BOARD (CARB)
ORG070,CDA,COPPER DEVELOPMENT ASSOCIATION,COPPER DEVELOPMENT ASSOCIATION (CDA)
ORG071,CDC,CENTERS FOR DISEASE CONTROL AND PREVENTION,CENTERS FOR DISEASE CONTROL AND PREVENTION (CDC)
ORG072,CDPH,CALIFORNIA DEPARTMENT OF PUBLIC HEALTH,CALIFORNIA DEPARTMENT OF PUBLIC HEALTH (CDPH)
ORG073,CEA,CONSUMER ELECTRONICS ASSOCIATION,CONSUMER ELECTRONICS ASSOCIATION (CEA)
ORG074,CEC,CALIFORNIA ENERGY COMMISSION,CALIFORNIA ENERGY COMMISSION (CEC)
ORG075,CEMA,CONVEYOR EQUIPMENT MANUFACTURERS ASSOCIATION,CONVEYOR EQUIPMENT MANUFACTURERS ASSOCIATION (CEMA)
ORG076,CEN/CENELEC,EUROPEAN COMMITTEE FOR STANDARDIZATION,EUROPEAN COMMITTEE FOR STANDARDIZATION (CEN/CENELEC)
ORG077,CEQ,COUNCIL ON ENVIRONMENTAL QUALITY,COUNCIL ON ENVIRONMENTAL QUALITY (CEQ) (WHITE HOUSE)
ORG078,CFFA,CHEMICAL FABRICS AND FILM ASSOCIATION,CHEMICAL FABRICS AND FILM ASSOCIATION (CFFA)
ORG079,CGA,COMPRESSED GAS ASSOCIATION,COMPRESSED GAS ASSOCIATION (CGA)
ORG080,CI,CHLORINE INSTITUTE,CHLORINE INSTITUTE (CI)
ORG081,CISCA,CEILINGS AND INTERIOR SYSTEMS CONSTRUCTION ASSOCIATION,CEILINGS AND INTERIOR SYSTEMS CONSTRUCTION ASSOCIATION (CISCA)
ORG082,CISPI,CAST IRON SOIL PIPE INSTITUTE,CAST IRON SOIL PIPE INSTITUTE (CISPI)
ORG083,CMAA,CRANE MANUFACTURERS ASSOCIATION OF AMERICA,CRANE MANUFACTURERS ASSOCIATION OF AMERICA (CMAA)
ORG084,COMNAVBASEGTMOINST,INSTRUCTIONS AND STANDARDS FOR NAVBASE GUANTANAMO BAY CUBA,INSTRUCTIONS AND STANDARDS FOR NAVBASE GUANTANAMO BAY CUBA (COMNAVBASEGTMOINST)
ORG085,CPA,COMPOSITE PANEL ASSOCIATION,COMPOSITE PANEL ASSOCIATION (CPA)
ORG086,CPSC,CONSUMER PRODUCT SAFETY COMMISSION,CONSUMER PRODUCT SAFETY COMMISSION (CPSC)
ORG087,CRI,CARPET AND RUG INSTITUTE,CARPET AND RUG INSTITUTE (CRI)
ORG088,CRRC,COOL ROOF RATING COUNCIL,COOL ROOF RATING COUNCIL (CRRC)
ORG089,CRSI,CONCRETE REINFORCING STEEL INSTITUTE,CONCRETE REINFORCING STEEL INSTITUTE (CRSI)
ORG090,CSA,CSA GROUP,CSA GROUP (CSA)
ORG091,CTB,"STATE OF CALIFORNIA, DEPARTMENT OF CONSUMER AFFAIRS, BUREAU OF HOME FURNISHINGS AND THERMAL INSULATION","STATE OF CALIFORNIA, DEPARTMENT OF CONSUMER AFFAIRS, BUREAU OF HOME FURNISHINGS AND THERMAL INSULATION (CTB)"
ORG092,CTI,COOLING TECHNOLOGY INSTITUTE,COOLING TECHNOLOGY INSTITUTE (CTI)
ORG093,DA,U.S. ARMY,U.S. ARMY (DA)
ORG094,DASMA,DOOR AND ACCESS SYSTEM MANUFACTURERS ASSOCIATION,DOOR AND ACCESS SYSTEM MANUFACTURERS ASSOCIATION (DASMA)
ORG095,DDESB,DEPARTMENT OF DEFENSE EXPLOSIVES SAFETY BOARD,DEPARTMENT OF DEFENSE EXPLOSIVES SAFETY BOARD (DDESB)
ORG096,DIA,U.S. DEFENSE INTELLIGENCE AGENCY,U.S. DEFENSE INTELLIGENCE AGENCY (DIA)
ORG097,DIN,GERMAN INSTITUTE FOR STANDARDIZATION,GERMAN INSTITUTE FOR STANDARDIZATION (DIN)
ORG098,DIPRA,DUCTILE IRON PIPE RESEARCH ASSOCIATION,DUCTILE IRON PIPE RESEARCH ASSOCIATION (DIPRA)
ORG099,DLA,U.S. DEFENSE LOGISTICS AGENCY,U.S. DEFENSE LOGISTICS AGENCY (DLA)
ORG100,DOC,U.S. DEPARTMENT OF COMMERCE,U.S. DEPARTMENT OF COMMERCE (DOC)
ORG101,DOD,U.S. DEPARTMENT OF DEFENSE,U.S. DEPARTMENT OF DEFENSE (DOD)
ORG102,DOE,U.S. DEPARTMENT OF ENERGY,U.S. DEPARTMENT OF ENERGY (DOE)
ORG103,DON,U.S. DEPARTMENT OF THE NAVY,U.S. DEPARTMENT OF THE NAVY (DON)
ORG104,DOT,U.S. DEPARTMENT OF TRANSPORTATION,U.S. DEPARTMENT OF TRANSPORTATION (DOT)
ORG105,ECIA,ELECTRONIC COMPONENTS INDUSTRY ASSOCIATION,ELECTRONIC COMPONENTS INDUSTRY ASSOCIATION (ECIA)
ORG106,ECMA,ELECTRIFICATION AND CONTROLS MANUFACTURERS ASSOCIATION,ELECTRIFICATION AND CONTROLS MANUFACTURERS ASSOCIATION (ECMA)
ORG107,EE,EXTRON ELECTRONICS,EXTRON ELECTRONICS (EE)
ORG108,EGSA,ELECTRICAL GENERATING SYSTEMS ASSOCIATION,ELECTRICAL GENERATING SYSTEMS ASSOCIATION (EGSA)
ORG109,EI,ENERGY INSTITUTE,ENERGY INSTITUTE (EI)
ORG110,EJMA,EXPANSION JOINT MANUFACTURERS ASSOCIATION,EXPANSION JOINT MANUFACTURERS ASSOCIATION (EJMA)
ORG111,EPA,U.S. ENVIRONMENTAL PROTECTION AGENCY,U.S. ENVIRONMENTAL PROTECTION AGENCY (EPA)
ORG112,ESD,ELECTROSTATIC DISCHARGE ASSOCIATION,ELECTROSTATIC DISCHARGE ASSOCIATION (ESD)
ORG113,ETL,ETL TESTING LABORATORIES,ETL TESTING LABORATORIES (ETL)
ORG114,EU,EUROPEAN UNION,EUROPEAN UNION (EU)
ORG115,FAA,U.S. FEDERAL AVIATION ADMINISTRATION,U.S. FEDERAL AVIATION ADMINISTRATION (FAA)
ORG116,FAC,FLORIDA ADMINISTRATIVE CODE,FLORIDA ADMINISTRATIVE CODE (FAC)
ORG117,FCC,U.S. FEDERAL COMMUNICATIONS COMMISSION,U.S. FEDERAL COMMUNICATIONS COMMISSION (FCC)
ORG118,FCCCHR,FOUNDATION FOR CROSS-CONNECTION CONTROL AND HYDRAULIC RESEARCH,FOUNDATION FOR CROSS-CONNECTION CONTROL AND HYDRAULIC RESEARCH (FCCCHR)
ORG119,FCI,FLUID CONTROLS INSTITUTE,FLUID CONTROLS INSTITUTE (FCI)
ORG120,FEMA,FEDERAL EMERGENCY MANAGEMENT AGENCY,FEDERAL EMERGENCY MANAGEMENT AGENCY (FEMA)
ORG121,FEMP,U.S. DEPARTMENT OF ENERGY FEDERAL ENERGY MANAGEMENT PROGRAM,U.S. DEPARTMENT OF ENERGY FEDERAL ENERGY MANAGEMENT PROGRAM (FEMP)
ORG122,FHWA,U.S. FEDERAL HIGHWAY ADMINISTRATION,U.S. FEDERAL HIGHWAY ADMINISTRATION (FHWA)
ORG123,FM,FM GLOBAL,FM GLOBAL (FM)
ORG124,FPI,FPInnovations,FPInnovations (FPI)
ORG125,FRTR,FEDERAL REMEDIATION TECHNOLOGIES ROUNDTABLE,FEDERAL REMEDIATION TECHNOLOGIES ROUNDTABLE (FRTR)
ORG126,FSA,FLUID SEALING ASSOCIATION,FLUID SEALING ASSOCIATION (FSA)
ORG127,FSC,FOREST STEWARDSHIP COUNCIL,FOREST STEWARDSHIP COUNCIL (FSC)
ORG128,FSUP,FORESTRY SUPPLIERS INC.,FORESTRY SUPPLIERS INC. (FSUP)
ORG129,GA,GYPSUM ASSOCIATION,GYPSUM ASSOCIATION (GA)
ORG130,GANA,GLASS ASSOCIATION OF NORTH AMERICA,GLASS ASSOCIATION OF NORTH AMERICA (GANA)
ORG131,GBCI,GREEN BUSINESS CERTIFICATION INC.,GREEN BUSINESS CERTIFICATION INC. (GBCI)
ORG132,GBI,GREEN BUILDING INITIATIVE,GREEN BUILDING INITIATIVE (GBI)
ORG133,GS,GREEN SEAL,GREEN SEAL (GS)
ORG134,GSA,U.S. GENERAL SERVICES ADMINISTRATION,U.S. GENERAL SERVICES ADMINISTRATION (GSA)
ORG135,GSI,GEOSYNTHETIC INSTITUTE,GEOSYNTHETIC INSTITUTE (GSI)
ORG136,GeoSA,GEOLOGICAL SOCIETY OF AMERICA,GEOLOGICAL SOCIETY OF AMERICA (GeoSA)
ORG137,HEI,HEAT EXCHANGE INSTITUTE,HEAT EXCHANGE INSTITUTE (HEI)
ORG138,HI,HYDRAULIC INSTITUTE,HYDRAULIC INSTITUTE (HI)
ORG139,HPVA,HARDWOOD PLYWOOD AND VENEER ASSOCIATION,HARDWOOD PLYWOOD AND VENEER ASSOCIATION (HPVA)
ORG140,HPW,H.P. WHITE LABORATORY,H.P. WHITE LABORATORY (HPW)
ORG141,HUD,U.S. DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,U.S. DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD)
ORG142,HYI,HYDRONICS INSTITUTE DIVISION OF AHRI,HYDRONICS INSTITUTE DIVISION OF AHRI (HYI)
ORG143,IAPMO,INTERNATIONAL ASSOCIATION OF PLUMBING AND MECHANICAL OFFICIALS,INTERNATIONAL ASSOCIATION OF PLUMBING AND MECHANICAL OFFICIALS (IAPMO)
ORG144,IATA,INTERNATIONAL AIR TRANSPORT ASSOCIATION,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA)
ORG145,ICAC,INSTITUTE OF CLEAN AIR COMPANIES,INSTITUTE OF CLEAN AIR COMPANIES (ICAC)
ORG146,ICC,INTERNATIONAL CODE COUNCIL,INTERNATIONAL CODE COUNCIL (ICC)
ORG147,ICC-ES,"ICC EVALUATION SERVICE, INC.","ICC EVALUATION SERVICE, INC. (ICC-ES)"
ORG148,ICEA,INSULATED CABLE ENGINEERS ASSOCIATION,INSULATED CABLE ENGINEERS ASSOCIATION (ICEA)
ORG149,ICPA,INTERNATIONAL CAST POLYMER ASSOCIATION,INTERNATIONAL CAST POLYMER ASSOCIATION (ICPA)
ORG150,ICRI,INTERNATIONAL CONCRETE REPAIR INSTITUTE,INTERNATIONAL CONCRETE REPAIR INSTITUTE (ICRI)
ORG151,ICS,INTELLIGENCE COMMUNITY STANDARD,INTELLIGENCE COMMUNITY STANDARD (ICS)
ORG152,IDEM,INDIANA DEPARTMENT OF ENVIRONMENTAL MANAGEMENT,INDIANA DEPARTMENT OF ENVIRONMENTAL MANAGEMENT (IDEM)
ORG153,IEC,INTERNATIONAL ELECTROTECHNICAL COMMISSION,INTERNATIONAL ELECTROTECHNICAL COMMISSION (IEC)
ORG154,IEEE,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS (IEEE)
ORG155,IEPA,ILLINOIS ENVIRONMENTAL PROTECTION AGENCY,ILLINOIS ENVIRONMENTAL PROTECTION AGENCY (IEPA)
ORG156,IES,ILLUMINATING ENGINEERING SOCIETY,ILLUMINATING ENGINEERING SOCIETY (IES)
ORG157,IEST,INSTITUTE OF ENVIRONMENTAL SCIENCES AND TECHNOLOGY,INSTITUTE OF ENVIRONMENTAL SCIENCES AND TECHNOLOGY (IEST)
ORG158,IETF,INTERNET ENGINEERING TASK FORCE,INTERNET ENGINEERING TASK FORCE (IETF)
ORG159,IGMA,INSULATING GLASS MANUFACTURERS ALLIANCE,INSULATING GLASS MANUFACTURERS ALLIANCE (IGMA)
ORG160,IGSHPA,INTERNATIONAL GROUND SOURCE HEAT PUMP ASSOCIATION,INTERNATIONAL GROUND SOURCE HEAT PUMP ASSOCIATION (IGSHPA)
ORG161,IIAR,INTERNATIONAL INSTITUTE OF AMMONIA REFRIGERATION,INTERNATIONAL INSTITUTE OF AMMONIA REFRIGERATION (IIAR)
ORG162,IICRC,"INSTITUTE OF INSPECTION, CLEANING, AND RESTORATION CERTIFICATION","INSTITUTE OF INSPECTION, CLEANING, AND RESTORATION CERTIFICATION (IICRC)"
ORG163,ISA,INTERNATIONAL SOCIETY OF AUTOMATION,INTERNATIONAL SOCIETY OF AUTOMATION (ISA)
ORG164,ISEA,INTERNATIONAL SAFETY EQUIPMENT ASSOCIATION,INTERNATIONAL SAFETY EQUIPMENT ASSOCIATION (ISEA)
ORG165,ISO,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION (ISO)
ORG166,IWCA,INTERNATIONAL WINDOW CLEANING ASSOCIATION,INTERNATIONAL WINDOW CLEANING ASSOCIATION (IWCA)
ORG167,JSA,Japanese Standards Association,Japanese Standards Association (JSA)
ORG168,LHBH,L.H. BAILEY HORTORIUM,L.H. BAILEY HORTORIUM (LHBH)
ORG169,LonMark,LONMARK INTERNATIONAL,LONMARK INTERNATIONAL (LonMark)
ORG170,MA,MIDDLE ATLANTIC PRODUCTS,MIDDLE ATLANTIC PRODUCTS (MA)
ORG171,MBMA,METAL BUILDING MANUFACTURERS ASSOCIATION,METAL BUILDING MANUFACTURERS ASSOCIATION (MBMA)
ORG172,MFMA,MAPLE FLOORING MANUFACTURERS ASSOCIATION,MAPLE FLOORING MANUFACTURERS ASSOCIATION (MFMA)
ORG173,MFMA,METAL FRAMING MANUFACTURERS ASSOCIATION,METAL FRAMING MANUFACTURERS ASSOCIATION (MFMA)
ORG174,MHI,MATERIAL HANDLING INDUSTRY OF AMERICA,MATERIAL HANDLING INDUSTRY OF AMERICA (MHI)
ORG175,MIA,MARBLE INSTITUTE OF AMERICA,MARBLE INSTITUTE OF AMERICA (MIA)
ORG176,MICA,MIDWEST INSULATION CONTRACTORS ASSOCIATION,MIDWEST INSULATION CONTRACTORS ASSOCIATION (MICA)
ORG177,MMPA,MOULDING AND MILLWORK PRODUCERS ASSOCIATION,MOULDING AND MILLWORK PRODUCERS ASSOCIATION (MMPA)
ORG178,MODBUS,"MODBUS ORGANIZATION, INC","MODBUS ORGANIZATION, INC (MODBUS)"
ORG179,MPI,MASTER PAINTERS INSTITUTE,MASTER PAINTERS INSTITUTE (MPI)
ORG180,MRCA,MIDWEST ROOFING CONTRACTORS ASSOCIATION,MIDWEST ROOFING CONTRACTORS ASSOCIATION (MRCA)
ORG181,MSS,MANUFACTURERS STANDARDIZATION SOCIETY OF THE VALVE AND FITTINGS INDUSTRY,MANUFACTURERS STANDARDIZATION SOCIETY OF THE VALVE AND FITTINGS INDUSTRY (MSS)
ORG182,NAAMM,NATIONAL ASSOCIATION OF ARCHITECTURAL METAL MANUFACTURERS,NATIONAL ASSOCIATION OF ARCHITECTURAL METAL MANUFACTURERS (NAAMM)
ORG183,NACE,NACE INTERNATIONAL,NACE INTERNATIONAL (NACE)
ORG184,NADCA,NATIONAL AIR DUCT CLEANERS ASSOCIATION,NATIONAL AIR DUCT CLEANERS ASSOCIATION (NADCA)
ORG185,NAIMA,NORTH AMERICAN INSULATION MANUFACTURERS ASSOCIATION,NORTH AMERICAN INSULATION MANUFACTURERS ASSOCIATION (NAIMA)
ORG186,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION (NARA)
ORG187,NATO,NORTH ATLANTIC TREATY ORGANIZATION,NORTH ATLANTIC TREATY ORGANIZATION (NATO)
ORG188,NAVFAC,U.S. NAVAL FACILITIES ENGINEERING SYSTEMS COMMAND,U.S. NAVAL FACILITIES ENGINEERING SYSTEMS COMMAND (NAVFAC)
ORG189,NAVFAC EXWC,NAVAL FACILITIES ENGINEERING AND EXPEDITIONARY WARFARE CENTER,NAVAL FACILITIES ENGINEERING AND EXPEDITIONARY WARFARE CENTER (NAVFAC EXWC)
ORG190,NAVSEA,U.S. NAVAL SEA SYSTEMS COMMAND,U.S. NAVAL SEA SYSTEMS COMMAND (NAVSEA)
ORG191,NBBI,NATIONAL BOARD OF BOILER AND PRESSURE VESSEL INSPECTORS,NATIONAL BOARD OF BOILER AND PRESSURE VESSEL INSPECTORS (NBBI)
ORG192,NCMA,NATIONAL CONCRETE MASONRY ASSOCIATION,NATIONAL CONCRETE MASONRY ASSOCIATION (NCMA)
ORG193,NCRP,NATIONAL COUNCIL ON RADIATION PROTECTION AND MEASUREMENTS,NATIONAL COUNCIL ON RADIATION PROTECTION AND MEASUREMENTS (NCRP)
ORG194,NCTA,NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION,NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION (NCTA)
ORG195,NDA,NATIONAL DRILLING ASSOCIATION,NATIONAL DRILLING ASSOCIATION (NDA)
ORG196,NEBB,NATIONAL ENVIRONMENTAL BALANCING BUREAU,NATIONAL ENVIRONMENTAL BALANCING BUREAU (NEBB)
ORG197,NECA,NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION,NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION (NECA)
ORG198,NEII,"NATIONAL ELEVATOR INDUSTRY, INC.","NATIONAL ELEVATOR INDUSTRY, INC. (NEII)"
ORG199,NELMA,NORTHEASTERN LUMBER MANUFACTURERS ASSOCIATION,NORTHEASTERN LUMBER MANUFACTURERS ASSOCIATION (NELMA)
ORG200,NEMA,NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION,NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION (NEMA)
ORG201,NETA,INTERNATIONAL ELECTRICAL TESTING ASSOCIATION,INTERNATIONAL ELECTRICAL TESTING ASSOCIATION (NETA)
ORG202,NFLPA,NATIONAL FLUID POWER ASSOCIATION,NATIONAL FLUID POWER ASSOCIATION (NFLPA)
ORG203,NFPA,NATIONAL FIRE PROTECTION ASSOCIATION,NATIONAL FIRE PROTECTION ASSOCIATION (NFPA)
ORG204,NFRC,NATIONAL FENESTRATION RATING COUNCIL,NATIONAL FENESTRATION RATING COUNCIL (NFRC)
ORG205,NHLA,NATIONAL HARDWOOD LUMBER ASSOCIATION,NATIONAL HARDWOOD LUMBER ASSOCIATION (NHLA)
