RID,Title,Organization
AHRI 420,(2008) Performance Rating of Forced-Circulation Free-Delivery Unit Coolers for Refrigeration,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 430,(2009) Central-Station Air-Handling Units,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 440,(2008) Performance Rating of Room Fan-Coils,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 450,"(2007) Water-Cooled Refrigerant Condensers, Remote Type","AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 460,(2005) Performance Rating of Remote Mechanical-Draft Air-Cooled Refrigerant COndensers,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 480,"(2007) Refrigerant-Cooled Liquid Coolers, Remote Type","AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 490 I-P,(2011) Performance Rating of Remote Mechanical-Draft Evaporatively-Cooled Refrigerant Condensers,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 540,(2015) Performance Rating Of Positive Displacement Refrigerant Compressors And Compressor Units,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 550/590 I-P,(2020) Performance Rating Of Water-Chilling and Heat Pump Water-Heating Packages Using the Vapor Compression Cycle,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 575,(2017) Method of Measuring Machinery Sound Within an Equipment Space,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 640,(2017) Performance Rating of Commercial and Industrial Humidifiers,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 700,(2016) Specifications for Fluorocarbon Refrigerants,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 710 I-P,(2009) Performance Rating of Liquid-Line Driers,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 711,(2009) Performance Rating of Liquid-Line Driers,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 720,(2002) Refrigerant Access Valves and Hose Connectors,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 750 I-P,(2016) Performance Rating of Thermostatic Refrigerant Expansion Valves,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 751 SI,(2016) Performance Rating of Thermostatic Refrigerant Expansion Valves,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 760 I-P,(2014) Performance Rating of Solenoid Valves for Use with Volatile Refrigerants,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 880 I-P,(2011) Performance Rating of Air Terminals,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 885,(2008; Addendum 2011) Procedure for Estimating Occupied Space Sound Levels in the Application of Air Terminals and Air Outlets,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 920 I-P,(2020) Performance Rating of Direct Expansion-Dedicated Outdoor Air System Units,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 921 SI,(2020) Performance Rating of Direct Expansion-Dedicated Outdoor Air System Units,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 1060 I-P,(2014) Performance Rating of Air-to-Air Heat Exchangers for Energy Recovery Ventilation Heat Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 1230,(2010; Addendum 1 2011; Addendum 2 2014) Performance Rating of Variable Refrigerant Flow (VRF) Multi-Split Air-Conditioning and Heat Pump Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 1360,(2017) Performance Rating of Computer and Data Processing Room Air Conditioners,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 1370 I-P,(2017) Performance Rating of Electronic Expansion Valves,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI 1371 SI,(2017) Performance Rating of Electronic Expansion Valves,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI DCAACP,(Online) Directory of Certified Applied Air-Conditioning Products,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI Guideline D,(1996) Application and Installation of Central Station Air-Handling Units,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
AHRI Guideline K,(2009) Guideline for Containers for Recovered Non-Flammable Fluorocarbon Refrigerants,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 210/240,(2008; Add 1 2011; Add 2 2012) Performance Rating of Unitary Air-Conditioning &amp; Air-Source Heat Pump Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 270,(2008) Sound Rating of Outdoor Unitary Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 340/360,(2007; Addendum 1 2010; Addendum 2 2011) Performance Rating of Commercial and Industrial Unitary Air-Conditioning and Heat Pump Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 370,(2015; Addendum 1 2016) Sound Rating of Large Outdoor Refrigerating and Air-Conditioning Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 460,(2005) Performance Rating of Remote Mechanical-Draft Air-Cooled Refrigerant Condensers,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 495,(2005) Performance Rating of Refrigerant Liquid Receivers,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 510,(2006) Performance Rating of Positive Displacement Ammonia Compressors and Compressor Units,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 520,(2004) Performance Rating of Positive Displacement Condensing Units,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 640,(2005) Performance Rating of Commercial and Industrial Humidifiers,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 760,(2014) Performance Rating of Solenoid Valves for Use With Volatile Refrigerants,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 850,(2004) Performance Rating of Commercial and Industrial Air Filter Equipment,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 1160 I-P,(2022) Performance Rating of Heat Pump Pool Heaters,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI 1161 SI,(2014) Performance Rating of Heat Pump Pool Heaters,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ANSI/AHRI/CSA 310/380,(2014) Standard for Packaged Terminal Air-Conditioners and Heat Pumps,"AIR-CONDITIONING, HEATING AND REFRIGERATION INSTITUTE (AHRI)"
ATIS ANSI O5.1,(2017) Wood Poles -- Specifications &amp; Dimensions,ALLIANCE FOR TELECOMMUNICATIONS INDUSTRY SOLUTIONS (ATIS)
AA ADM,(2020) Aluminum Design Manual,ALUMINUM ASSOCIATION (AA)
AA ANSI H35.2M,(2024) Dimensional Tolerances for Aluminum Mill Products,ALUMINUM ASSOCIATION (AA)
AA ASD1,(2024) Aluminum Standards and Data,ALUMINUM ASSOCIATION (AA)
AA ASM-35,"(2000) Specifications for Aluminum Sheet Metal Work in Building Construction, Construction Manual Series Section 5",ALUMINUM ASSOCIATION (AA)
AA DAF45,(2003; Reaffirmed 2009) Designation System for Aluminum Finishes,ALUMINUM ASSOCIATION (AA)
AA H35.1/35.1M,(2024) American National Standard Alloy and Temper Designation Systems for Aluminum,ALUMINUM ASSOCIATION (AA)
AA PK-1,(2015) Pink Sheets: Designations and Chemical Composition Limits for Aluminum Alloys in the Form of Castings &amp; Ingot,ALUMINUM ASSOCIATION (AA)
AAMA 501,(2015) Methods of Test for Exterior Walls,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 501.1,"(2017) Standard Test Method for Water Penetration of Windows, Curtain Walls and Doors Using Dynamic Pressure",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 501.2,"(2015) Quality Assurance and Diagnostic Water Leakage Field Check of Installed Storefronts, Curtain Walls and Sloped Glazing Systems",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 501.4,"(2018) Recommended Static Test Method for Evaluating Window Wall, Curtain Wall and Storefront Systems Subjected to Seismic and Wind-Induced Inter-Story Drift",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 501.5,(2007) Test Method for Thermal Cycling of Exterior Walls,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 501.6,"(2018) Recommended Dynamic Test Method for Determining the Seismic Drift Causing Glass Fallout from Window Wall, Curtain Wall and Storefront Systems",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 501.7,"(2017) Recommended Static Test Method for Evaluating Windows, Window Wall, Curtain Wall and Storefront Systems Subjected to Vertical Inter-Story Movements",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 609 &amp; 610,(2015) Cleaning and Maintenance Guide for Architecturally Finished Aluminum,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 611,(2014) Voluntary Specification for Anodized Architectural Aluminum,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 701/702,(2011) Voluntary Specification for Pile Weatherstripping and Replaceable Fenestration Weatherseals,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 800,(2016) Voluntary Specifications and Test Methods for Sealants,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 901,(2016) Voluntary Specification for Rotary &amp; Linear Operators in Window Applications,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 902,(2016) Voluntary Specification for Sash Balances,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 907,"(2015) Voluntary Specification for Corrosion Resistant Coatings on Carbon Steel Components Used in Windows, Doors and Skylights",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 1002,(2011) Voluntary Specification for Secondary Storm Products for Windows and Sliding Glass Doors,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 1503,"(2009) Voluntary Test Method for Thermal Transmittance and Condensation Resistance of Windows, Doors and Glazed Wall Sections",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 2603,"(2020) Voluntary Specification, Performance Requirements and Test Procedures for Pigmented Organic Coatings on Aluminum Extrusions and Panels",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 2604,"(2017a) Voluntary Specification, Performance Requirements and Test Procedures for High Performance Organic Coatings on Aluminum Extrusions and Panels",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA 2605,"(2020) Voluntary Specification, Performance Requirements and Test Procedures for Superior Performing Organic Coatings on Aluminum Extrusions and Panels",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA CW-10,(2015) Care and Handling of Architectural Aluminum from Shop to Site,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA GDSG-1,(1987) Glass Design for Sloped Glazing,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA MCWM-1,(1989) Metal Curtain Wall Manual,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA TIR A7,(2011) Sloped Glazing Guidelines,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA WSG.1,(1995) Window Selection Guide,AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
AAMA/WDMA/CSA 101/I.S.2/A440,"(2017) North American Fenestration Standard/Specification for Windows, Doors, and Skylights",AMERICAN ARCHITECTURAL MANUFACTURERS ASSOCIATION (AAMA)
ANSI/AARST MA-MFLB,"Protocol for Conducting Measurements of Radon and Radon Decay Products in Multifamily, School, Commercial and Mixed-Use Buildings",AMERICAN ASSOCIATION OF RADON SCIENTISTS AND TECHNOLOGISTS (AARST)
ANSI/AARST SGM-MFLB,"(2023) Soil Gas Mitigation Standards for Existing Multifamily, School, Commercial and Mixed-Use Buildings",AMERICAN ASSOCIATION OF RADON SCIENTISTS AND TECHNOLOGISTS (AARST)
AASHTO GDHS-7,(2018; Errata 2019) A Policy on Geometric Design of Highways and Streets,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO HB-17,"(2002; Errata 2003; Errata 2005, 17th Edition) Standard Specifications for Highway Bridges",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO LRFD,(8th Edition; 2017) Bridge Design Specifications,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO LRFDCONS,"(3rd Edition; 2010, 2011, 2012, 2014, 2015, and 2016 Int) Bridge Construction Specifications",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO LTS,"(2013; Errata 2013) Standard Specifications for Structural Supports for Highway Signs, Luminaires and Traffic Signals",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 30,(2002; R 2010) Standard Specification for Zinc-Coated Steel Wire Rope and Fittings for Highway Guardrail,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 43,(2005; R 2018) Standard Specification for Sizes of Aggregate for Road and Bridge Construction,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 81,(1992; R 2017) Standard Specification for Cutback Asphalt (Rapid-Curing Type),AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 82,(2017) Standard Specification for Cutback Asphalt (Medium-Curing Type),AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 118,"(1979) Coal-Tar Bitumen Used in Roofing, Damp-Proofing, and Waterproofing",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 133,(2012; R 2016) Standard Specification for Preservatives and Pressure Treatment Processes for Timber,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 145,(1991; R 2012) Standard Specification for Classification of Soils and Soil-Aggregate Mixtures for Highway Construction Purposes,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 156,"(2013; R 2017) Standard Specification for Requirements for Mixing Plants for Hot-Mixed, Hot-Laid Bituminous Paving Mixtures",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 167M/M 167,"(2017; R 2021) Standard Specification for Corrugated Steel Structural Plate, Zinc-Coated, for Field-Bolted Pipe, Pipe-Arches, and Arches",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 168,(2007; R 2012) Standard Specification for Wood Products,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 180,(2012; R 2017) Standard Specification for Corrugated Sheet Steel Beams for Highway Guardrail,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 182,(2005; R 2021) Standard Specification for Burlap Cloth Made from Jute or Kenaf and Cotton Mats,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 190,(2004; R 2019) Standard Specification for Asphalt-Coated Corrugated Metal Culvert Pipe and Pipe Arches,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 200,(1973; R 2012) Standard Specification for Epoxy Protective Coatings,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 219,"(1992; R 2021) Standard Specification for Corrugated Aluminum Alloy Structural Plate for Field-Bolted Pipe, Pipe-Arches, and Arches",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 226,(1980; R 2017) Standard Specification for Viscosity-Graded Asphalt Cement,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 233,(1986; R 2023) Standard Specification for Boiled Linseed Oil Mixture for Treatment of Portland Cement Concrete,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 243,"(1996; R 2021) Standard Specification for Field-Applied Coating of Corrugated Metal Structural Plate for Pipe, Pipe-Arches, and Arches",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 247,(2013) Standard Specification for Glass Beads Used in Pavement Markings,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 249,(2012; R2016) Standard Specification for White and Yellow Reflective Thermoplastic Striping Material (Solid Form),AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 251,(2006; R 2011) Standard Specification for Plain and Laminated Elastomeric Bridge Bearings,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 252,(2009; R 2017) Standard Specification for Corrugated Polyethylene Drainage Pipe,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 268,(2014) Standard Specification for Retroreflective Sheeting for Flat and Vertical Traffic Control Applications,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 288,(2021) Standard Specification for Geosynthetic Specification for Highway Applications,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 294,"(2021) Standard Specification for Corrugated Polyethylene Pipe, 300- to 1500-mm (12- to 60-in.) Diameter",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 300,(2003; R 2017) Standard Specification for Inorganic Zinc-Rich Primer,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 306,"(2010; R 2015) Standard Specification for Drainage, Sewer, Utility, and Related Castings",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 314,(1990; R 2013) Standard Specification for Steel Anchor Bolts,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 320,(2017) Standard Specification for Performance-Graded Asphalt Binder,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO M 325,(2008) Standard Specification for Stone Matrix Asphalt (SMA),AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO MASH,(2016) Manual for Assessing Safety Hardware - Second Edition,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO MP 20,"(2013; R 2017) Standard Specification for Steel-Reinforced Polyethylene (PE) Ribbed Pipe, 300- to 1500-mm (12- to 60-in) Diameter",AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO R 30,(2002; R 2019) Standard Practice for Mixture Conditioning of Hot Mix Asphalt (HMA),AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO R 46,(2008; R 2017) Standard Practice for Designing Stone Matrix Asphalt (SMA),AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO R 66,(2016) Standard Practice for Sampling Asphalt Materials,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO R 80,(2017; R 2021) Standard Practice for Determining the Reactivity of Concrete Aggregates and Selecting Appropriate Measures for Preventing Deleterious Expansion in New Concrete Construction,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO R 102,(2022) Standard Practice for Emulsified Asphalt Chip Seal Design,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
AASHTO RSDG-4,(2011; Errata 1 2012; Errata 2 2015) Roadside Design Guide,AMERICAN ASSOCIATION OF STATE HIGHWAY AND TRANSPORTATION OFFICIALS (AASHTO)
