RID,Title,Org_Acronym,Org_Name,Org_ID,Spec_References
29 CFR 1910.145,Specifications for Accident Prevention Signs and Tags,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 84 33"": [""1.1"", ""3.1.8""], ""11 05 40"": [""1.1"", ""2.1""], ""11 42 00"": [""1.1"", ""2.1""], ""11 46 00"": [""1.2"", ""2.1""], ""11 47 00"": [""1.1"", ""2.1""], ""11 48 00"": [""1.1"", ""2.1""]}"
29 CFR 1910.146,Permit-required Confined Spaces,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 72 13.13"": [""1.1"", ""1.7.1""], ""09 97 02"": [""1.2"", ""1.3.1.2"", ""1.3.1.3"", ""1.3.1.6""], ""33 01 50.55"": [""1.1"", ""1.5.11.4""], ""33 01 50.65"": [""1.1"", ""3.3""]}"
29 CFR 1910.147,The Control of Hazardous Energy (Lock Out/Tag Out),NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 82 00"": [""1.1"", ""3.2"", ""3.2.1""], ""26 20 00"": [""1.1"", ""2.25""], ""41 22 13.14"": [""1.1"", ""1.7"", ""1.7.1"", ""2.4.3""], ""41 22 13.15"": [""1.1"", ""1.7"", ""1.7.1"", ""2.4.3""], ""41 22 13.16"": [""1.1"", ""1.5.7""], ""41 22 13.55"": [""1.1"", ""1.7"", ""2.4.3""], ""41 22 23.19"": [""1.1"", ""1.7"", ""1.7.1"", ""2.4.3""]}"
29 CFR 1910.157,(2003) Portable Fire Extinguishers,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""10 44 16"": [""1.1"", ""2.1.1""]}"
29 CFR 1910.179,Overhead and Gantry Cranes,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""41 22 13.14"": [""1.1"", ""1.7"", ""2.4.3""], ""41 22 13.15"": [""1.1"", ""1.7"", ""2.4.3""], ""41 22 13.16"": [""1.1"", ""1.5.7""], ""41 22 13.55"": [""1.1"", ""1.7"", ""2.4.3""]}"
29 CFR 1910.20,Access to Employee Exposure and Medical Records,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""09 97 02"": [""1.2"", ""1.3.2.2""], ""09 97 10.00 10"": [""1.2"", ""1.6.7.9""]}"
29 CFR 1910.212,Safety Standard for Machinery and Machine Guarding,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""11 05 40"": [""1.1"", ""2.1""], ""11 42 00"": [""1.1"", ""2.1""], ""11 48 00"": [""1.1"", ""2.1""]}"
29 CFR 1910.219,Mechanical Power Transmission Apparatus,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""22 15 19.13 20"": [""1.1"", ""1.5""], ""22 15 19.19 20"": [""1.1"", ""1.5""], ""22 15 26.00 20"": [""1.1"", ""1.5.2""], ""22 16 19.26 20"": [""1.1"", ""1.5""], ""23 21 13.00 20"": [""1.1"", ""1.6.2""], ""23 21 23"": [""1.1"", ""2.3.3.4"", ""2.3.4.6"", ""2.3.6.4"", ""2.6.2""], ""23 35 19.00 20"": [""1.1"", ""1.6.1""], ""43 15 00.00 20"": [""1.1"", ""1.5.2""]}"
29 CFR 1910.23,(Nov 2016) Ladders,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""05 51 33"": [""1.1"", ""1.3"", ""2.4""], ""06 71 33"": [""1.1"", ""2.1.2.3""], ""06 82 14"": [""1.1"", ""2.1.3"", ""3.1""], ""08 60 45"": [""1.2"", ""2.5""], ""33 56 21.17"": [""1.1"", ""2.13.11""]}"
29 CFR 1910.25,(Dec 2019)Stairways,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""05 51 33"": [""1.1"", ""1.3""], ""33 56 21.17"": [""1.1"", ""2.13.8""]}"
29 CFR 1910.27,(Nov 2016) Scaffolds and Roope Descent Systems,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""06 71 33"": [""1.1"", ""2.1"", ""2.1.2.1"", ""2.1.2.3"", ""3.1.1""], ""33 30 00"": [""1.1"", ""2.2.17""]}"
29 CFR 1910.28,(Nov 2016)Duty to Have Fall Protection and Falling Object Protection,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""05 51 33"": [""1.1"", ""2.4.1""], ""06 71 33"": [""1.1"", ""2.1.2.3"", ""2.2.2.1""], ""44 10 00"": [""1.1"", ""2.13""]}"
29 CFR 1910.29,(Nov 2016) Fall Protection System and Falling Object Protection - Criteria and Practices,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""05 51 33"": [""1.1"", ""2.4.2""]}"
29 CFR 1910.303,"Electrical, General",NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""26 20 00"": [""1.1"", ""2.25""]}"
29 CFR 1910.306,Specific Purpose Equipment and Installations,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""11 05 40"": [""1.1"", ""2.1""], ""11 42 00"": [""1.1"", ""2.1""], ""11 46 00"": [""1.2"", ""2.1""], ""11 47 00"": [""1.1"", ""2.1""], ""11 48 00"": [""1.1"", ""2.1""], ""41 22 13.14"": [""1.1"", ""1.7"", ""2.4.3""], ""41 22 13.15"": [""1.1"", ""1.7"", ""2.4.3""], ""41 22 13.16"": [""1.1"", ""1.5.7""], ""41 22 13.55"": [""1.1"", ""1.7"", ""2.4.3""], ""41 22 23.19"": [""1.1"", ""1.7"", ""2.4.3""]}"
29 CFR 1910.94,Ventilation,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""09 97 02"": [""1.2"", ""1.3.1.3""]}"
29 CFR 1915,Confined and Enclosed Spaces and Other Dangerous Atmospheres in Shipyard Employment,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 35 26"": [""1.1"", ""1.16"", ""1.8.7"", ""3.4""]}"
29 CFR 1919,Gear Certification,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 35 26"": [""1.1"", ""1.13.5""]}"
29 CFR 1926,Safety and Health Regulations for Construction,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 35 26"": [""1.1"", ""1.16"", ""1.8.5"", ""1.8.7"", ""1.8.8"", ""3.5.1""], ""01 35 29.13"": [""1.1"", ""2.1""], ""05 21 00"": [""1.1"", ""1.3"", ""1.3.2"", ""3.1""], ""05 30 00"": [""1.1"", ""3.2""], ""06 71 33"": [""1.1"", ""3.1""], ""06 82 14"": [""1.1"", ""3.1""], ""07 11 13"": [""1.1"", ""1.4""], ""07 52 00"": [""1.1"", ""1.7.1""], ""08 22 20"": [""1.1"", ""3.1""], ""09 97 10.00 10"": [""1.2"", ""1.4.1"", ""1.4.6""], ""40 17 26.00 20"": [""1.1"", ""1.5.8""]}"
29 CFR 1926-SUBPART U,Blasting and the Use of Explosives,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""31 23 00.00"": [""1.5"", ""1.8"", ""3.15"", ""3.6.2.2""], ""31 23 06.00"": [""1.3"", ""3.4.2""]}"
29 CFR 1926.103,Respiratory Protection,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 82 00"": [""1.1"", ""1.3.14"", ""1.3.4"", ""1.3.7"", ""1.3.7.1"", ""1.3.7.2"", ""3.1.2.1""], ""02 83 00"": [""1.1"", ""1.5.2.4"", ""1.5.2.6""], ""31 21 13"": [""1.2"", ""1.7.3"", ""1.8"", ""1.8.1"", ""1.8.2"", ""1.8.3"", ""1.8.3.1""]}"
29 CFR 1926.1101,Asbestos,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 82 00"": [""1.1"", ""1.2.10"", ""1.2.12"", ""1.2.17"", ""1.2.21"", ""1.2.25"", ""1.2.32"", ""1.2.7"", ""1.3.14"", ""1.3.3"", ""1.3.3.1"", ""1.3.4"", ""1.3.6"", ""1.3.7"", ""1.3.7.1"", ""1.3.7.3"", ""1.5.3"", ""1.5.4"", ""1.5.8"", ""2.4"", ""3.1.2.1"", ""3.1.3.3"", ""3.1.3.4"", ""3.1.6.1"", ""3.1.6.2"", ""3.1.7"", ""3.2"", ""3.2.11.4"", ""3.2.14"", ""3.2.14.2"", ""3.2.5.2""], ""02 85 00"": [""1.1"", ""1.4.1.2""]}"
29 CFR 1926.1126,Chromium,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 83 00"": [""1.1"", ""1.2.12"", ""1.2.21"", ""1.2.7"", ""1.5.1.1"", ""1.5.1.2"", ""1.5.2.3"", ""1.5.2.4"", ""1.5.2.5"", ""1.5.2.6"", ""1.5.2.9"", ""1.6.1"", ""1.6.2"", ""3.1.1.5"", ""3.1.1.7"", ""3.1.1.9"", ""3.3.1"", ""3.4.1.1"", ""3.5.1.1"", ""3.5.2""], ""02 85 00"": [""1.1"", ""3.2.1""]}"
29 CFR 1926.1127,Cadmium,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 83 00"": [""1.1"", ""1.2.12"", ""1.2.21"", ""1.2.4"", ""1.5.1.1"", ""1.5.1.2"", ""1.5.2.3"", ""1.5.2.4"", ""1.5.2.5"", ""1.5.2.6"", ""1.5.2.9"", ""1.6.1"", ""1.6.2"", ""3.1.1.5"", ""3.1.1.7"", ""3.1.1.9"", ""3.3.1"", ""3.4.1.1"", ""3.5.1.1"", ""3.5.2""], ""02 85 00"": [""1.1"", ""3.2.1""], ""09 97 13.25"": [""1.1"", ""1.8""]}"
29 CFR 1926.1153,Respirable Crystalline Silica,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""01 57 19"": [""1.1"", ""3.5.7""], ""32 11 36.13"": [""1.1"", ""1.6""]}"
29 CFR 1926.16,Rules of Construction,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""07 52 00"": [""1.1"", ""1.7.1""]}"
29 CFR 1926.200,Accident Prevention Signs and Tags,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 82 00"": [""1.1"", ""3.1.6.1""]}"
29 CFR 1926.21,Safety Training and Education,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 83 00"": [""1.1"", ""1.5.2.5""]}"
29 CFR 1926.33,Access to Employee Exposure and Medical Records,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 83 00"": [""1.1"", ""1.5.2.4""]}"
29 CFR 1926.51,Sanitation,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 82 00"": [""1.1"", ""3.1.3.3""]}"
29 CFR 1926.55,"Gases, Vapors, Fumes, Dusts, and Mists",NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ORG186,"{""02 42 91"": [""1.1"", ""1.2.1""], ""02 83 00"": [""1.1"", ""1.5.2.6""], ""33 01 50.55"": [""1.1"", ""1.5.9""]}"
